Neighbor info at step 0: radial(max=410,actual=228), angular(max=190,actual=81).
Neighbor info at step 1000: radial(max=410,actual=235), angular(max=190,actual=101).
Neighbor info at step 2000: radial(max=410,actual=229), angular(max=190,actual=102).
Neighbor info at step 3000: radial(max=410,actual=231), angular(max=190,actual=103).
Neighbor info at step 4000: radial(max=410,actual=235), angular(max=190,actual=105).
Neighbor info at step 5000: radial(max=410,actual=233), angular(max=190,actual=109).
Neighbor info at step 6000: radial(max=410,actual=235), angular(max=190,actual=106).
Neighbor info at step 7000: radial(max=410,actual=232), angular(max=190,actual=102).
Neighbor info at step 8000: radial(max=410,actual=240), angular(max=190,actual=104).
Neighbor info at step 9000: radial(max=410,actual=234), angular(max=190,actual=107).
Neighbor info at step 10000: radial(max=410,actual=238), angular(max=190,actual=106).
Neighbor info at step 11000: radial(max=410,actual=235), angular(max=190,actual=103).
Neighbor info at step 12000: radial(max=410,actual=236), angular(max=190,actual=104).
Neighbor info at step 13000: radial(max=410,actual=238), angular(max=190,actual=105).
Neighbor info at step 14000: radial(max=410,actual=234), angular(max=190,actual=105).
Neighbor info at step 15000: radial(max=410,actual=243), angular(max=190,actual=107).
Neighbor info at step 16000: radial(max=410,actual=239), angular(max=190,actual=105).
Neighbor info at step 17000: radial(max=410,actual=234), angular(max=190,actual=106).
Neighbor info at step 18000: radial(max=410,actual=238), angular(max=190,actual=106).
Neighbor info at step 19000: radial(max=410,actual=240), angular(max=190,actual=104).
Neighbor info at step 20000: radial(max=410,actual=237), angular(max=190,actual=105).
Neighbor info at step 21000: radial(max=410,actual=239), angular(max=190,actual=107).
Neighbor info at step 22000: radial(max=410,actual=235), angular(max=190,actual=105).
Neighbor info at step 23000: radial(max=410,actual=233), angular(max=190,actual=106).
Neighbor info at step 24000: radial(max=410,actual=237), angular(max=190,actual=109).
Neighbor info at step 25000: radial(max=410,actual=238), angular(max=190,actual=103).
Neighbor info at step 26000: radial(max=410,actual=235), angular(max=190,actual=105).
Neighbor info at step 27000: radial(max=410,actual=238), angular(max=190,actual=105).
Neighbor info at step 28000: radial(max=410,actual=233), angular(max=190,actual=104).
Neighbor info at step 29000: radial(max=410,actual=240), angular(max=190,actual=105).
Neighbor info at step 30000: radial(max=410,actual=233), angular(max=190,actual=102).
Neighbor info at step 31000: radial(max=410,actual=239), angular(max=190,actual=105).
Neighbor info at step 32000: radial(max=410,actual=235), angular(max=190,actual=105).
Neighbor info at step 33000: radial(max=410,actual=238), angular(max=190,actual=105).
Neighbor info at step 34000: radial(max=410,actual=236), angular(max=190,actual=105).
Neighbor info at step 35000: radial(max=410,actual=237), angular(max=190,actual=107).
Neighbor info at step 36000: radial(max=410,actual=238), angular(max=190,actual=108).
Neighbor info at step 37000: radial(max=410,actual=238), angular(max=190,actual=107).
Neighbor info at step 38000: radial(max=410,actual=236), angular(max=190,actual=103).
Neighbor info at step 39000: radial(max=410,actual=238), angular(max=190,actual=104).
Neighbor info at step 40000: radial(max=410,actual=236), angular(max=190,actual=105).
Neighbor info at step 41000: radial(max=410,actual=238), angular(max=190,actual=106).
Neighbor info at step 42000: radial(max=410,actual=239), angular(max=190,actual=105).
Neighbor info at step 43000: radial(max=410,actual=239), angular(max=190,actual=106).
Neighbor info at step 44000: radial(max=410,actual=237), angular(max=190,actual=104).
Neighbor info at step 45000: radial(max=410,actual=236), angular(max=190,actual=108).
Neighbor info at step 46000: radial(max=410,actual=240), angular(max=190,actual=106).
Neighbor info at step 47000: radial(max=410,actual=240), angular(max=190,actual=109).
Neighbor info at step 48000: radial(max=410,actual=243), angular(max=190,actual=108).
Neighbor info at step 49000: radial(max=410,actual=239), angular(max=190,actual=104).
Neighbor info at step 50000: radial(max=410,actual=236), angular(max=190,actual=104).
Neighbor info at step 51000: radial(max=410,actual=242), angular(max=190,actual=108).
Neighbor info at step 52000: radial(max=410,actual=236), angular(max=190,actual=106).
Neighbor info at step 53000: radial(max=410,actual=239), angular(max=190,actual=103).
Neighbor info at step 54000: radial(max=410,actual=237), angular(max=190,actual=105).
Neighbor info at step 55000: radial(max=410,actual=242), angular(max=190,actual=104).
Neighbor info at step 56000: radial(max=410,actual=237), angular(max=190,actual=105).
Neighbor info at step 57000: radial(max=410,actual=242), angular(max=190,actual=105).
Neighbor info at step 58000: radial(max=410,actual=240), angular(max=190,actual=105).
Neighbor info at step 59000: radial(max=410,actual=236), angular(max=190,actual=104).
Neighbor info at step 60000: radial(max=410,actual=239), angular(max=190,actual=105).
Neighbor info at step 61000: radial(max=410,actual=236), angular(max=190,actual=103).
Neighbor info at step 62000: radial(max=410,actual=240), angular(max=190,actual=105).
Neighbor info at step 63000: radial(max=410,actual=240), angular(max=190,actual=106).
Neighbor info at step 64000: radial(max=410,actual=239), angular(max=190,actual=109).
Neighbor info at step 65000: radial(max=410,actual=238), angular(max=190,actual=104).
Neighbor info at step 66000: radial(max=410,actual=240), angular(max=190,actual=108).
Neighbor info at step 67000: radial(max=410,actual=237), angular(max=190,actual=104).
Neighbor info at step 68000: radial(max=410,actual=237), angular(max=190,actual=103).
